rx, ry, rz, vx, vy, vz, m
-1.406996930000000000e+08,-5.161442800000000000e+07,9.800000000000000000e+02,9.917918902199518882e+00,-2.774230414174495252e+01,-9.138351001082530012e-02,1.000000000000000000e+03
-1.316858495029581189e+08,-7.186156698963585496e+07,-6.762195535671677499e+04,1.410354483035221484e+01,-2.556785295591169316e+01,-2.009063277793171065e-01,9.809794981145226984e+02
-1.196323829516926557e+08,-9.025153577295555174e+07,-2.176654675524334016e+05,1.798281000443104105e+01,-2.282019975360685748e+01,-3.266886342574919500e-01,9.619635554761961203e+02
-1.047943088273697495e+08,-1.063680566705309898e+08,-4.604269063213234185e+05,2.150516898932492893e+01,-1.954676179009376114e+01,-4.646252715720071702e-01,9.429536783783076999e+02
-8.746359484145006537e+07,-1.198298384268727154e+08,-8.039072740299655125e+05,2.461646484383631872e+01,-1.580178504810252171e+01,-6.020855751395424171e-01,9.239564131349268337e+02
-6.797394546239730716e+07,-1.302961505503671616e+08,-1.246404340103358263e+06,2.703311940329499663e+01,-1.191005180303663913e+01,-5.704188970435442041e-01,9.054765353852704948e+02
-4.687611473116311431e+07,-1.376743517329732478e+08,-1.659516121753611369e+06,2.887226374569616283e+01,-7.614698966065535757e+00,-5.240450273441535911e-01,9.054510264667965203e+02
-2.463528744661163166e+07,-1.416869191241011620e+08,-2.032191253646925092e+06,3.005462312618574927e+01,-2.988980839742080953e+00,-4.631698858262238150e-01,9.054266368779435652e+02
-1.774811283511842834e+06,-1.421183627709159255e+08,-2.353669270968079567e+06,3.069443575623277098e+01,2.025749649413760345e+00,-4.515990894402041045e-01,9.053931373538035814e+02
2.127059400040261820e+07,-1.387157531978079081e+08,-2.661195434908590745e+06,3.066734564327419577e+01,7.277716036872996064e+00,-4.411609449161243424e-01,8.938983643537907255e+02
4.397517629680038989e+07,-1.313478940435318947e+08,-2.955375007959984709e+06,2.978126735483565568e+01,1.254861352967141386e+01,-3.895621575939664516e-01,8.749203294748681401e+02
6.567494982047763467e+07,-1.200598757679622471e+08,-3.205167057292919140e+06,2.798678318658806674e+01,1.768216858573131844e+01,-2.966103095608639828e-01,8.559346898060426838e+02
8.568301812768989801e+07,-1.050273348272999674e+08,-3.380076346218560822e+06,2.527646920440815492e+01,2.248663042773203813e+01,-1.639965377484202125e-01,8.369502276583043567e+02
1.033291310174346417e+08,-8.657858580999465287e+07,-3.451713285803197883e+06,2.170553972210433713e+01,2.674898499042543776e+01,4.736427116083696126e-03,8.179692348597596947e+02
1.180128130664001405e+08,-6.520119025012734532e+07,-3.395208064849560615e+06,1.740607825157096755e+01,3.026213304475397692e+01,2.043436518117671963e-01,7.989928746764610423e+02
